rel_path,lang,total_lines,blank_lines,comment_lines,code_lines,branch_tokens
tools/project_size_report.py,python,272,48,41,183,42
tools/quality/git_hotspots.py,python,41,7,5,29,7
tools/quality/metrics_complexity.py,python,179,28,16,135,27
tools/quality/deps_includes.py,python,101,15,16,70,20
tools/quality/report_md.py,python,557,64,46,447,46
tools/quality/__init__.py,python,0,0,0,0,0
tools/quality/metrics_loc.py,python,150,26,17,107,26
tools/quality/audit.py,python,270,31,35,204,8
tools/quality/cmake_audit.py,python,0,0,0,0,0
tools/quality/common.py,python,143,24,4,115,28
tools/quality/risk_scan.py,python,90,17,2,71,9
UnderwaterRobotSystem/CMakeLists.txt,cmake,7,2,0,5,1
UnderwaterRobotSystem/Underwater-robot-navigation/git_auto.py,python,89,17,20,52,7
UnderwaterRobotSystem/Underwater-robot-navigation/apps/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_xy_zero.py,python,55,11,7,37,3
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_baud_switch.py,python,105,11,12,82,13
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/dvl_data_verifier.py,python,283,34,34,215,31
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/tmux_telemetry_manager.py,python,325,57,39,229,44
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/dvl_safety_probe.py,python,223,38,18,167,22
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/multisensor_postproc.py,python,336,56,77,203,33
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/volt32_data_verifier.py,python,310,58,27,225,40
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_data_verifier.py,python,415,69,48,298,37
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/imu_logger.py,python,342,61,45,236,27
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/Volt32_logger.py,python,391,55,48,288,50
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/DVL_logger.py,python,611,110,111,390,77
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/nav/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/fusion/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/fusion/meas_models/dvl.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/fusion/meas_models/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/io/data_paths.py,python,35,7,15,13,1
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/io/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/io/timebase.py,python,181,42,73,66,4
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/imu_xy_zero.py,python,55,11,7,37,3
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/filters.py,python,172,23,39,110,15
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/imu_baud_switch.py,python,106,12,12,82,13
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/test.py,python,24,6,10,8,1
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/serial_io_tools.py,python,117,12,10,95,18
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/sensor1.py,python,127,19,14,94,7
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/tool.py,python,71,7,27,37,7
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/device_model.py,python,370,47,85,238,25
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/WT901C485.py,python,158,12,115,31,9
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/JY901S.py,python,160,12,119,29,8
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/device_model.py,python,242,37,105,100,18
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/interface/i_protocol_resolver.py,python,100,13,55,32,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/roles/wit_protocol_resolver.py,python,368,34,114,220,40
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/roles/protocol_485_resolver.py,python,310,19,81,210,31
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/data_processor/interface/i_data_processor.py,python,23,5,6,12,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/data_processor/roles/jy901s_dataProcessor.py,python,20,5,4,11,1
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/utils/byte_array_converter.py,python,8,2,4,2,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/tcp_if.py,python,160,22,58,80,13
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/protocol.py,python,319,36,60,223,43
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/serial_if.py,python,133,19,49,65,11
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/io.py,python,898,147,187,564,99
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/command.py,python,81,11,12,58,19
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/sensors/dvl_hover_h1000.py,python,110,10,9,91,15
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/sensors/imu.py,python,395,51,61,283,45
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/sensors/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/preprocess/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/CMakeLists.txt,cmake,154,27,0,127,26
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/estimator/nav_health_monitor.cpp,cpp,292,52,92,148,36
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/estimator/graph_smoother_2d.cpp,cpp,458,70,92,296,34
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/estimator/online_estimator.cpp,cpp,381,69,97,215,19
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/app/nav_daemon_config.cpp,cpp,290,40,43,207,31
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/app/nav_daemon.cpp,cpp,508,85,58,365,41
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/app/tools/DVL_selftest.cpp,cpp,462,74,46,342,61
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/core/logging.cpp,cpp,80,16,6,58,12
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/core/timebase.cpp,cpp,56,11,2,43,4
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/io/nav_state_publisher.cpp,cpp,341,55,57,229,36
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/io/bin_logger.cpp,cpp,248,42,30,176,36
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/drivers/dvl_protocol.cpp,cpp,588,101,64,423,74
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/drivers/imu_driver_wit.cpp,cpp,598,99,99,400,63
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/drivers/dvl_driver.cpp,cpp,657,111,84,462,76
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/filters/imu_rt_filter.cpp,cpp,333,50,59,224,42
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_core/filters/eskf.cpp,cpp,402,61,123,218,21
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/estimator/graph_smoother_2d.hpp,cpp,239,42,142,55,2
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/estimator/nav_health_monitor.hpp,cpp,269,38,158,73,9
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/estimator/online_estimator.hpp,cpp,251,45,143,63,4
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/app/nav_daemon_config.hpp,cpp,224,44,109,71,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/core/types.hpp,cpp,234,32,129,73,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/core/timebase.hpp,cpp,106,24,35,47,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/core/status.hpp,cpp,107,19,46,42,3
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/core/math.hpp,cpp,312,45,96,171,29
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/core/logging.hpp,cpp,70,10,38,22,4
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/io/bin_logger.hpp,cpp,87,20,30,37,7
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/io/log_packets.hpp,cpp,137,22,62,53,3
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/io/nav_state_publisher.hpp,cpp,174,24,94,56,9
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/drivers/imu_driver_wit.hpp,cpp,288,40,183,65,2
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/drivers/dvl_driver.hpp,cpp,344,59,172,113,13
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/drivers/dvl_protocol.hpp,cpp,300,40,200,60,5
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/filters/eskf.hpp,cpp,122,26,45,51,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/filters/filter_common.hpp,cpp,257,54,121,82,2
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/filters/imu_rt_filter.hpp,cpp,176,29,106,41,4
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/project_size_report.py,python,272,48,41,183,42
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/git_hotspots.py,python,41,7,5,29,7
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/metrics_complexity.py,python,179,28,16,135,27
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/deps_includes.py,python,101,15,16,70,20
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/report_md.py,python,557,64,46,447,46
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/__init__.py,python,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/metrics_loc.py,python,150,26,17,107,26
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/audit.py,python,270,31,35,204,8
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/cmake_audit.py,python,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/common.py,python,143,24,4,115,28
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/risk_scan.py,python,90,17,2,71,9
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/CMakeLists.txt,cmake,11,4,0,7,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/nav_state_shm.hpp,cpp,94,19,29,46,13
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/key_event_shm.hpp,cpp,63,17,8,38,3
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/control_intent_shm.hpp,cpp,50,12,6,32,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/nav_state_view_shm.hpp,cpp,82,17,24,41,9
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/key_event_ring_shm.hpp,cpp,124,24,40,60,12
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/nav_state.hpp,cpp,115,17,34,64,9
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/nav_state_view.hpp,cpp,78,15,17,46,5
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/key_event.hpp,cpp,47,13,2,32,5
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/control_intent.hpp,cpp,137,34,6,97,5
UnderwaterRobotSystem/shared/CMakeLists.txt,cmake,11,4,0,7,0
UnderwaterRobotSystem/shared/shm/nav_state_shm.hpp,cpp,94,19,29,46,13
UnderwaterRobotSystem/shared/shm/key_event_shm.hpp,cpp,63,17,8,38,3
UnderwaterRobotSystem/shared/shm/control_intent_shm.hpp,cpp,53,12,7,34,0
UnderwaterRobotSystem/shared/shm/nav_state_view_shm.hpp,cpp,82,17,24,41,9
UnderwaterRobotSystem/shared/shm/key_event_ring_shm.hpp,cpp,124,24,40,60,12
UnderwaterRobotSystem/shared/msg/nav_state.hpp,cpp,115,17,34,64,9
UnderwaterRobotSystem/shared/msg/nav_state_view.hpp,cpp,78,15,17,46,5
UnderwaterRobotSystem/shared/msg/key_event.hpp,cpp,47,13,2,32,5
UnderwaterRobotSystem/shared/msg/control_intent.hpp,cpp,137,34,6,97,5
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/CMakeLists.txt,cmake,83,11,0,72,13
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/proto_gcs/CMakeLists.txt,cmake,20,4,0,16,2
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/proto_gcs/src/crc32c.cpp,cpp,36,6,1,29,7
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/proto_gcs/include/proto_gcs/gcs_protocol.hpp,cpp,285,60,40,185,28
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/CMakeLists.txt,cmake,181,29,0,152,25
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/gcs_client.cpp,cpp,449,81,59,309,25
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/intent_dump.cpp,cpp,348,47,34,267,60
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/nav_viewd.cpp,cpp,444,65,49,330,76
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/nav_view_dump.cpp,cpp,492,73,36,383,80
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/intentd.cpp,cpp,267,51,18,198,14
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/gcs_server.cpp,cpp,255,48,33,174,25
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/apps/teleop_local.cpp,cpp,413,65,35,313,83
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/tests/test_session.cpp,cpp,372,73,40,259,23
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/tests/test_codec.cpp,cpp,165,33,2,130,7
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/intent_publisher_shm.cpp,cpp,293,48,47,198,27
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/udp/udp_endpoint.cpp,cpp,158,23,0,135,29
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/udp/udp_client.cpp,cpp,123,21,10,92,23
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/udp/udp_server.cpp,cpp,76,14,2,60,19
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/session/gcs_session.cpp,cpp,498,86,27,385,104
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/intent_subscriber_shm.cpp,cpp,315,54,24,237,57
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/nav/nav_state_subscriber_shm.cpp,cpp,316,53,26,237,57
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/nav/nav_state_subscriber.cpp,cpp,228,42,7,179,30
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/nav/nav_view_builder.cpp,cpp,86,20,9,57,9
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/nav/nav_view_publisher_shm.cpp,cpp,270,48,19,203,32
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/gateway/src/IPC/intent/intent_arbiter.cpp,cpp,310,57,38,215,62
